OP,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
+,7711,4369,2533,9535,6916,9742,4556,323,3139,985
+,2900,6875,5564,6481,6006,806,3603,3525,2468,1719
-,6811,687,8304,6831,4980,5776,2963,9238,3203,6873
+,7521,6030,2145,3291,289,9282,7356,894,7535,6833
+,7874,7454,8636,3517,777,2814,1868,7700,1522,5534
+,7214,2734,3968,4388,7352,3179,4005,338,9503,2638
+,8025,5138,5546,6554,2429,4760,6592,7173,6393,1774
+,1544,5269,9344,2350,8248,5257,6301,5544,7253,2766
+,1820,7834,1858,5892,8225,6571,6571,760,8765,9081
+,3514,3547,9192,3376,7549,4172,9533,4757,403,6996
+,7640,483,4394,7055,5222,2008,8111,2682,8393,6986
+,8383,1990,3964,3722,5561,3475,3360,9517,798,4025
+,8611,1622,7363,1235,9699,4857,1417,5573,3418,9587
-,9316,5834,5279,5853,6533,9248,7640,700,4065,8525
+,9501,8937,9724,5562,1838,3307,2744,7169,5395,4111
+,2189,2638,3908,9214,1596,4119,8546,5810,9608,4933
+,7847,5911,57,7896,4355,5487,6143,1716,3498,992
+,5641,8812,8199,2703,3066,6301,9803,6865,1851,3513
+,8751,7272,4141,8203,5456,8855,3382,6886,6248,4695
+,3996,9321,3970,6769,8104,2242,6567,1379,1175,3278
+,9697,5185,2890,5659,7527,1585,2220,5172,336,3176
+,8137,8672,9681,1579,7651,9529,9118,6896,307,7693
+,8476,5130,1310,3190,1223,903,3611,6489,7527,9332
+,8364,1193,4549,2319,2688,1493,1912,2966,5768,1408
-,4451,3729,4247,8817,6054,7795,6546,446,5987,3272
+,6305,870,3646,3781,1837,7738,2149,3652,2271,3926
+,4605,5347,9721,9572,5835,8322,814,6909,312,1472
+,21,5643,6208,8721,4174,4826,7446,6784,3782,5157
+,9826,2160,4531,9927,7681,4248,5920,129,325,5938
+,3026,4441,7446,8578,1688,3757,688,3798,4855,5869
+,2324,8807,6750,1663,1608,6562,2907,4516,7315,6762
+,3525,9515,8823,7516,9059,8015,539,8382,5467,846
+,8420,7672,1023,8007,122,1002,1610,8271,6808,8033
+,374,2979,8397,613,349,8112,4592,4860,9516,8392
+,6172,3257,2260,5304,1721,8475,9343,8457,1707,9387
-,5193,5613,2158,8558,3873,1807,7026,2391,1592,4929
+,5871,6948,314,1057,8073,7345,6305,7221,1381,3625
+,1317,2320,9111,4867,2516,6817,62,853,9880,1512
+,546,6671,6038,5812,682,6186,9222,4923,4841,4118
+,9522,7301,97,1430,2442,8889,6521,3797,8299,2035
+,2788,8191,646,2844,414,6334,2111,1852,890,6990
+,9398,6310,7187,4277,7889,6277,8196,9757,9558,8902
+,297,5380,679,1693,9703,9238,4286,2222,2441,6161
+,8129,3811,5436,6833,7074,8315,8734,697,8492,2429
+,190,2057,1341,5841,3084,4643,2747,3528,5649,4392
+,6608,708,505,2892,1572,733,5500,5908,5038,4563
-,3160,8178,4974,2261,6046,2509,1749,5190,5060,7448
+,981,2247,2716,1838,9026,4959,9656,4487,1368,8679
+,8351,9938,8146,3202,5713,642,1992,3537,8607,9455
+,5946,8262,5510,5791,8581,4069,3345,4737,6373,4323
+,8947,7352,9088,3141,3228,2938,6878,9832,6990,7003
+,3047,389,9282,767,9395,4514,1609,4095,1773,5281
+,2200,1067,1881,1276,103,2046,5345,3956,1798,907
+,2179,1761,683,6382,1855,8966,7469,7590,9543,7129
+,385,2213,7878,2388,271,6397,3787,8923,2641,2505
+,6402,9677,6210,7328,3026,3436,5468,4853,9542,2902
+,3464,5042,6780,8954,9840,6812,6480,2714,5285,5102
-,6194,6248,3295,9485,9043,3299,7290,7395,9506,4479
+,2574,7769,2555,3802,1344,5936,3173,4162,9771,6193
+,3790,7678,7204,3560,9125,6307,121,4292,2814,9807
+,8158,279,2419,6101,3619,6318,5743,5304,4218,7384
+,5308,4572,7311,7041,372,4956,5479,4104,3054,9468
+,5551,998,6983,4437,6534,3468,6332,1426,166,7198
+,288,4988,8053,6911,6379,9332,5408,4583,2144,6162
+,2297,8806,874,8552,2208,7278,7979,7254,4688,5880
+,6762,1064,4520,9113,5352,3931,9464,4830,8357,8942
+,4335,6742,1469,6860,9269,9513,96,3229,7439,318
+,8623,7493,9408,9205,5230,847,4317,226,7568,4207
-,128,8707,5219,7319,1955,3428,3022,7985,1223,8675
+,6121,5326,2100,4232,628,5028,9345,5563,2685,319
+,1137,7175,2792,2571,2912,2608,4698,5785,6882,2018
+,1165,5831,2533,5928,9003,69,9214,8348,4821,5822
+,1535,2480,5501,3954,8852,4901,3567,4036,3221,5184
+,2253,4859,9635,5287,7616,6452,4359,1264,8037,9438
+,7751,6392,2882,9501,556,9835,5934,1304,5379,783
+,1089,7200,7955,908,1103,6149,9919,4253,5424,5969
+,8151,6815,4118,6952,7869,197,8383,7568,9414,9711
+,3682,821,9730,18,8994,3627,877,313,5785,7978
+,2957,6008,628,3259,1040,2269,1596,5843,2279,4566
-,5077,4049,2654,8456,7314,7158,9039,1734,971,8376
+,1098,1658,9529,1352,711,1655,905,4323,6119,7693
+,3578,2982,1213,3243,322,7009,8117,5100,6555,2736
+,13,8655,6863,608,1527,9555,135,3185,4428,1306
+,9068,7571,6719,4507,2192,372,4185,8243,6156,1849
+,6011,8589,5894,1906,333,491,5397,2847,4553,5972
+,9248,4611,7517,2152,5697,8707,4722,3521,9036,5899
+,6419,54,7855,4166,8721,1199,3401,7349,7291,955
+,654,3871,8098,5851,5905,7131,9360,9873,4952,175
+,6042,5705,2799,8585,6471,1104,6448,1398,8933,1719
+,4659,7794,5050,7578,3459,798,4351,2059,6040,5956
-,4283,4481,4151,3622,997,2771,8205,6329,5770,571
+,2771,5194,1632,1238,376,5838,3292,2539,3016,9929
+,865,4214,5233,2654,3017,3933,2424,979,8877,9351
+,1443,8585,4307,7082,8861,244,8221,6701,1728,9510
+,4405,1580,7463,7023,4461,3527,304,6432,2218,5914
+,4773,3218,1900,3701,2618,8823,4288,593,532,4409
+,7907,9346,6624,991,1344,1596,7748,9967,9945,7278
+,1657,4118,3800,2679,6134,5289,2551,1273,7104,8408
+,6733,8911,9072,3490,7399,4941,9710,4706,4181,3716
+,9854,5662,7135,593,8008,9706,5922,8305,7248,4551
+,5207,9382,3109,1382,9764,256,634,1384,6638,2388
-,931,9989,1095,3794,3516,6711,2052,2295,5697,6643
+,4676,3861,3900,2728,5041,7468,4979,7802,6760,8894
+,662,6135,8224,5831,3432,1410,6139,3670,8515,5768
+,7961,1717,9395,2578,4006,9444,7947,2205,6083,3046
+,3533,8554,7333,9786,8578,8250,5938,840,9897,1581
+,5707,129,1601,2193,8786,3379,8749,410,8542,9937
+,2728,2631,5766,1493,8817,3219,4861,1969,6487,7771
+,5942,7825,8079,5743,1821,1360,7746,6720,4202,8289
+,3507,5797,964,8097,9757,6544,3754,4700,4832,1219
+,1885,2758,2363,8453,1334,5075,2954,5518,2070,8097
+,9634,2081,8830,4905,6486,4057,511,1092,1748,2238
-,3468,6201,8100,9878,8443,5205,2865,9172,4729,6572
+,7610,2372,7849,6204,1568,3323,6482,7831,6123,9286
+,6271,9857,2021,7134,1868,7655,1257,3321,9058,5103
+,5475,3475,9576,8080,1452,5551,2327,2448,9294,8506
+,1849,9640,9083,2407,5037,3997,355,7214,8800,2930
+,1683,2961,2696,7246,3883,4002,8385,5162,8590,2110
+,6247,326,2047,3129,7073,7809,8010,6457,8366,8916
+,4756,2790,2804,1146,2148,4875,7082,5878,8515,1629
+,2649,895,3253,3088,3777,1281,8644,3938,8115,4771
+,9387,8672,2385,7705,852,1295,7601,7748,8593,4704
+,6896,8751,103,3550,7403,4906,7169,5231,9069,1536
-,2604,5013,9405,2646,1863,6925,771,9728,8307,775
+,1446,4472,5105,6041,2750,2777,1472,6163,4380,507
+,3342,9401,5932,6077,9715,7761,7461,2700,8060,6457
+,199,623,4939,2301,6992,6692,9921,6540,2052,7310
+,7377,5905,6567,2854,8277,8429,3615,7828,3391,5967
+,9184,566,3253,773,4951,3478,807,9821,7656,1213
+,1400,9061,2949,8455,8042,2340,887,7723,7484,311
+,5371,1234,1973,3444,7512,1537,1759,9729,5710,5626
+,6087,4626,3955,5247,8556,1473,5228,8522,7377,4861
+,256,5255,4009,6798,2612,6751,2336,3153,911,4467
+,4985,2720,7689,6627,5067,2349,8717,9283,9411,3955
-,4991,4035,4546,9958,9918,8578,4313,6098,159,1174
+,3659,6543,559,8360,1597,75,8428,9050,7994,9588
+,9086,911,3536,9423,1744,4050,2807,4833,8004,2125
+,3091,9914,5601,3573,8974,6364,7823,4355,3239,7608
+,8888,7343,9175,4012,2128,7750,7080,8165,888,0
+,4225,2134,3534,9788,5761,368,4684,7508,768,9124
+,5000,1419,5653,131,4843,1670,3902,6561,1254,1015
+,3059,2458,7836,7007,2766,2395,1030,4669,9478,187
+,169,2756,2775,2530,8443,5962,1892,493,478,6103
+,9251,703,7450,1248,3234,7244,7577,1603,2655,9409
+,6176,4571,9829,1592,2569,1935,1606,6151,7330,568
-,6953,223,5414,9908,9665,2321,1643,184,2792,4359
+,4512,4100,6528,2025,430,8552,7558,8534,1693,3
+,670,910,7388,1561,9828,9079,7888,3017,7772,398
+,3651,4401,7181,9746,4462,7345,9188,2805,5181,7332
+,3713,455,4029,2490,2578,5948,7746,9035,1165,5738
+,3889,7710,6001,82,4666,2082,6936,7572,6639,3993
+,930,4805,9080,7138,9167,6693,5702,2221,9764,3227
+,4383,8757,711,8084,1783,2781,9323,135,9724,7382
+,67,8213,8905,2969,7769,5515,2610,3185,4463,4435
+,6697,1048,7856,5884,4108,8893,3932,2064,9628,8647
+,6550,3759,7804,3952,9393,4151,167,6209,8880,5034
-,566,8184,8633,330,2442,6026,600,4955,6522,3430
+,1526,4899,9593,9652,9309,9388,4170,2663,6151,2336
+,6259,5501,453,3090,7791,9870,2042,8153,4951,2025
+,6721,6670,6116,1107,8009,5939,3789,4774,2220,2738
+,7452,5361,5644,9383,963,5397,4459,905,5764,2667
+,2814,6531,6370,5220,1554,134,3089,616,2298,156
+,5915,1061,8897,5318,919,5480,4057,2781,4739,9768
+,9018,5597,55,5408,7452,6694,7890,681,8104,3718
+,1045,9618,1518,2042,1613,4863,95,8448,6845,7218
+,3881,3789,1537,4160,2522,9732,3216,5705,86,8865
+,6421,9288,4201,5718,328,9265,3512,4675,8392,5442
-,7427,4085,8503,9931,7724,3560,6663,2105,5084,1474
+,7382,6012,5110,8114,7880,4252,8025,1032,9876,7370
+,4696,3074,368,5258,85,8993,5093,5133,2914,2007
+,9003,6036,2512,1267,6164,5709,8282,245,1610,8704
+,1517,5032,1572,9282,9429,7997,577,4677,4856,5313
+,2219,4426,2435,9943,3381,9385,2356,2529,8923,7631
+,4592,8050,14,7846,3537,6770,462,3737,2503,7133
+,4818,8295,8034,10000,852,1605,9968,1248,9382,3856
+,398,8845,9729,3276,7520,3131,4322,5376,8828,6889
+,799,5239,1305,6684,472,6282,9515,2068,7524,93
+,5057,6678,6899,9135,5687,9522,4263,3530,8476,4201
-,9783,7025,4446,6754,9298,2986,7693,1851,9148,5728
+,7238,6030,5688,9170,8018,5078,4923,531,8998,818
+,3546,5344,5345,3922,8519,2309,6681,1444,2988,6947
+,9089,514,8300,336,6730,8898,683,8751,1535,7510
+,8895,5796,5952,3840,7003,3614,3543,7579,4920,9653
+,7392,5834,7253,5475,5710,4514,6510,7610,8091,6958
+,1426,7678,3969,2832,9307,1257,7095,596,1638,1140
+,2902,5365,3548,2743,1852,9124,7686,7068,2350,9359
+,9706,3043,9352,474,7273,8101,2049,8353,5048,8487
+,287,5304,4753,4672,4703,2502,1989,3586,1903,5644
+,1745,2973,9730,3314,9131,6053,6059,2337,9521,8889
-,3445,2135,1259,2720,2461,1224,5946,1717,9896,5560
+,6015,374,4426,386,4642,7913,7111,8055,8334,9501
+,779,6516,4656,7075,9850,4614,7066,8575,7282,2825
+,8906,9248,1870,6990,5622,8869,8236,423,9634,4158
+,3263,4793,3026,7273,8681,5678,7643,4556,398,3976
+,4702,5353,8836,3628,2927,135,7764,4051,7648,5001
+,1305,5075,6522,9083,2398,6239,7727,564,8730,8990
+,5146,719,9949,4970,3917,7569,100,6948,2192,4490
+,343,7584,7045,4866,5369,2144,6308,545,104,4621
+,774,6038,4259,3392,3708,8718,8674,7871,4258,9048
+,9739,3327,7153,1400,1539,8842,4506,8654,3752,775
-,6866,1732,2511,2006,2048,1419,5290,3224,1981,2299
+,8404,3593,7454,6687,6725,8891,972,4138,8669,2126
+,4822,8834,6589,5387,7431,5585,749,8688,2964,3007
+,6910,6633,7900,3858,7102,2329,9154,1983,2673,6571
+,7391,8941,471,3159,8545,3237,7796,6097,5881,4798
+,2810,7120,5674,2906,4244,4944,3901,4209,3771,4607
+,6318,737,4510,513,1224,2960,6528,5931,3431,2163
+,7750,5536,94,7059,5724,8818,8366,9764,7028,2768
+,8770,8166,8238,5992,3475,6121,3822,750,9157,2903
+,1770,5258,2135,6101,141,9427,4799,6962,8362,1558
+,1969,4790,5023,7960,6167,490,3948,348,1427,4076
-,7818,8886,711,5777,423,4628,5908,3187,4105,6107
+,1428,8500,4207,9964,1278,2966,7570,2938,5352,9243
+,749,6638,5133,4834,56,2422,9118,5466,3781,8354
+,809,9993,9812,856,5078,7757,9643,320,4282,574
+,2646,7651,147,7280,8865,2562,463,9310,8126,9621
+,9491,5954,2280,3838,3485,1430,8809,6389,2727,5495
+,1898,4527,8325,9153,4848,686,2669,4767,2204,2998
+,8493,2318,9310,4524,9062,4419,6415,9435,5981,1555
+,5734,338,5456,8220,7574,7790,9106,6033,2712,4896
+,2762,4794,1778,8381,9701,1105,6812,5283,9702,2445
+,705,9619,3917,2879,1577,2224,5337,8676,6383,7462
-,9148,3768,7387,4610,9577,1818,1890,1019,9292,8856
+,707,7602,2928,7240,2442,7425,3471,1269,3770,6495
+,7284,7314,7010,7688,7781,3238,8536,8170,4960,6450
+,8639,4979,5076,5817,1893,654,4311,9749,8526,427
+,3511,3896,539,2348,6403,9405,3997,3695,8512,1988
+,7598,5920,4439,7601,4849,506,2791,1433,9081,7990
+,3364,9342,4476,6976,2761,678,9274,4955,5064,7969
+,5113,5483,121,755,7043,5845,7072,5842,4450,6036
+,6105,6821,7836,2505,6520,1687,2326,7326,1250,6500
+,3433,7164,6852,3946,2006,2679,6827,901,9840,5077
+,5206,656,573,8132,8957,5920,2014,3321,9961,6777
-,3411,8949,7931,561,2986,4477,7450,2159,6715,7906
+,1275,9296,21,2800,6656,9664,1488,8641,4882,2252
+,4913,2461,3734,2366,4252,5460,4479,5706,5539,6047
+,497,4126,912,7232,9165,9884,3516,3199,3251,228
+,9916,1681,4784,7716,1624,3786,9853,4957,3876,5922
+,3608,803,168,7953,1688,5855,5150,4301,9564,3546
+,8571,6455,2920,5003,2319,3980,3132,313,7070,4522
+,2710,3346,8573,2152,9558,5340,5989,9053,6117,5574
+,9820,4500,5596,8135,5166,3947,4603,2260,5084,1109
+,4538,9015,3229,8197,2663,2852,567,9244,39,7501
+,2895,8704,1031,1906,506,4443,9512,1230,3612,2762
-,4706,2278,3976,9801,7800,6185,8145,8895,8647,2808
+,8708,9037,2809,6261,7572,3385,5781,452,6732,146
+,3458,5514,7055,4776,5332,4272,6302,2044,1303,1193
+,6314,581,4767,7588,4048,2014,2518,9373,3524,9692
+,5580,1544,7333,1597,903,4211,3448,7179,3642,9476
+,2561,7032,9823,5062,5630,6330,6046,5347,8971,3237
+,711,5810,6567,6483,5512,6195,392,9059,6847,4140
+,4477,1813,8633,5275,4707,1312,7005,6141,9678,7706
+,2118,8858,3894,8630,2339,1596,2202,5554,8172,9248
+,5831,4473,7416,1298,8129,2476,1578,3237,4605,9228
+,3438,3222,3576,2294,3189,9575,5087,3035,3942,3277
-,5424,2053,4980,162,3989,4645,8604,5473,8399,261
+,5751,6617,4974,9366,1702,805,8172,9525,9597,8186
+,2738,3043,7280,9285,2675,4144,2178,2213,8740,7885
+,9106,3630,5189,4016,1274,9430,3974,1774,4895,1876
+,825,800,7138,3462,8325,4790,2646,5701,2294,9764
+,4034,4990,1682,3430,6934,2207,691,2501,1536,7390
+,2390,2146,8726,8344,5408,9595,6360,5962,3282,2488
+,7346,2430,884,1328,6737,9095,3032,5909,3795,1045
+,3439,670,5559,7518,903,1346,2274,5158,335,9599
+,926,6688,3045,3249,1493,3769,1454,2116,5699,3807
+,2807,5825,1974,7284,4369,3093,5494,7361,354,8409
-,8287,2392,5613,6943,5455,4691,2416,5785,6371,1017
+,8995,2700,7049,3328,5009,7097,7155,8801,9915,9598
+,1343,4832,5160,508,3319,4386,2471,747,4766,9213
+,5280,7731,7455,8609,3132,7560,1396,8023,4000,7638
+,7667,3500,6553,938,6755,5559,9139,9630,3708,2344
+,8463,4261,283,4356,8240,1894,8653,7434,2727,8801
+,6983,8130,1933,5348,6716,5755,7057,2753,300,3289
+,6907,7948,2943,3426,6799,3462,3924,2234,9949,4779
+,5698,7850,4525,8455,1950,1572,5330,3726,5097,2820
+,641,9337,6979,3252,7590,175,4771,2468,7725,2097
+,7588,6977,5502,6989,5897,8505,5486,9954,9023,7923
-,1134,963,7418,7648,3633,3617,9835,6882,7813,5755
+,6158,9396,1306,7030,3906,9125,1088,949,4609,5533
+,7886,4165,3400,1430,219,7860,2932,2697,1411,1404
+,2951,6720,8419,5994,2887,3079,6702,7365,9656,4010
+,5863,4465,6600,9719,778,4159,2383,4600,3739,7486
+,5689,6135,4902,3856,7542,4009,7998,5019,5867,2363
+,4150,52,3156,3212,6323,8529,5633,894,651,2643
+,9636,3437,378,6386,8079,6120,8225,5627,993,2374
+,6265,4828,3635,5679,6691,4017,8294,6807,1493,297
+,434,8763,6644,2677,2105,8941,9607,3681,8763,4763
+,419,8445,599,318,7536,8728,8070,5201,8708,4279
-,9423,1545,3440,2524,1313,9752,7672,6162,8044,6153
+,7684,7775,953,3394,3690,2653,4942,4800,2039,9891
+,2799,4350,9511,8556,3020,9241,1282,1877,3784,1254
+,7170,5085,7777,1423,6819,2311,2394,4024,7542,3112
+,9017,1452,3355,7038,7270,4730,3836,5794,2674,2973
+,2491,8095,1105,1710,1021,8596,7949,9019,5439,7776
+,928,1846,9667,3030,7921,466,608,4376,318,826
+,5446,8268,7612,1513,6054,5229,8832,9629,4826,7176
+,9343,4720,7914,985,8165,1326,5385,7590,3163,7564
+,3100,6317,8273,94,3414,4949,7195,6757,15,3077
+,786,6057,1580,9588,7952,9504,6992,5569,9946,5756
-,7410,7957,7744,5238,4020,5765,6301,5585,8767,7687
+,7942,8615,3040,1596,9820,8322,1265,4996,2806,824
+,1873,8464,6023,7113,5737,318,268,48,8919,1555
+,4182,5029,8582,4188,232,4709,1255,6248,8485,84
+,8956,8920,5930,9867,721,8086,3770,6009,6656,5198
+,8459,688,5166,8361,9258,2371,5696,5936,1100,2660
+,3967,212,5776,7781,7966,9898,8183,6202,6793,9195
+,2429,2862,7224,6118,893,4071,9667,9568,1990,2509
+,8568,3508,576,9879,2041,5383,4862,3055,1332,9719
+,7267,4084,6283,7608,8012,3080,361,1666,7969,6827
+,4573,4498,5552,8181,7214,9227,7640,405,6145,1958
-,7152,6431,215,5048,5419,5612,3053,2087,225,1184
+,4655,7929,4682,2092,8212,9057,9701,3346,3360,518
+,5124,907,8771,1882,1499,1539,9856,6157,8773,9194
+,9112,6181,8653,1023,1609,5656,6967,2808,3294,567
+,4552,6943,4817,9448,6985,2242,6754,1613,1440,1750
+,1417,2763,8497,2971,4327,2718,3053,6756,4336,4404
+,1564,1265,9371,271,1713,6113,2769,5130,9050,3942
+,7551,3281,757,2339,3866,9778,226,6712,8475,7418
+,3845,6388,9485,5453,9781,65,7391,2261,6192,580
+,7868,7897,1930,7294,8156,8660,7675,4731,6145,1033
+,1765,9955,9435,5546,1611,1668,4718,770,3877,365
-,6807,2970,959,3511,6090,9606,3575,1772,8916,6353
+,9214,8186,5813,4733,7207,4639,5769,6402,1063,8071
+,6628,6005,7906,4991,4921,5467,4491,7361,1588,7334
+,3972,8656,2789,7617,7606,9995,4265,4251,5817,5789
+,4465,8872,4601,7243,4896,4038,4784,1716,2141,665
+,9990,4544,913,9339,8162,7158,6327,9724,320,9533
+,4289,3463,5485,9920,6858,6585,667,141,8017,5455
+,6431,2062,1845,8555,681,8907,9975,8873,5896,4464
+,6859,2676,2305,4656,4807,1596,9199,9769,1299,7319
+,3226,2493,1806,5868,3598,9950,393,4047,7069,3799
+,321,6360,6697,5888,7129,7591,3978,2711,314,72
-,1347,6086,3921,2881,3549,7475,3415,5469,6473,8683
+,1909,4925,400,7623,8037,9981,3524,9600,2962,8354
+,2997,3753,1637,1642,8103,9952,8916,3203,2532,2405
+,6008,6478,9258,4207,5010,1966,6397,8283,2324,5249
+,2370,147,3448,9958,3374,3827,1829,9596,8369,8308
+,5197,9457,7347,7306,4502,4432,1713,9288,1419,1951
+,9472,3363,3894,7974,1938,8600,1640,8255,5861,6468
+,2919,2008,1727,9498,5947,613,3007,8317,9703,5690
+,1560,4225,9329,4658,6486,8773,6979,2180,1123,6919
+,4227,1066,6391,9699,3960,4332,93,4570,129,2790
+,3078,5091,8774,3351,4413,4204,2916,1410,3105,5507
-,2607,8386,1823,9115,6188,9938,12,9270,9632,5138
+,5373,3987,1613,7687,9337,4606,5889,2157,7627,8317
+,9192,3724,8723,5722,6332,2134,3598,5767,3580,4756
+,4617,1026,1901,5171,5376,1199,4296,9747,1719,9203
+,6579,5660,5011,4603,1302,783,6351,263,9278,2184
+,5450,8297,8572,4933,2354,1010,1030,6389,9045,6959
+,5477,3762,6444,3716,8849,6718,5823,4759,5108,7287
+,6390,721,9550,5913,6435,3701,8665,236,7331,7211
+,9613,9278,2415,6628,3003,8108,8233,2076,6028,99
+,9646,2011,9783,6019,127,9575,3767,8467,7358,1920
+,5632,5094,1832,3989,1660,5793,4556,7378,1972,9391
-,3016,4599,6405,4429,5963,8259,1502,9724,5532,8259
+,259,1635,6495,6694,9073,2472,5475,5217,4239,4691
+,8492,6667,6070,1086,7574,7470,8869,1651,971,1522
+,6505,6976,9556,1118,6739,9694,2511,1628,8685,7789
+,5999,3357,2647,4947,9055,892,3702,7060,9685,9167
+,8202,8471,4095,9423,2530,7410,9063,9264,562,3324
+,8196,2730,6864,8821,9357,6981,8839,2330,924,4063
+,4242,9516,3385,6993,2018,3025,4304,9556,8433,1031
+,2358,8231,8281,1553,8747,6205,2962,6592,626,2472
+,7888,8129,8370,1492,737,2938,6892,4331,732,8989
+,4021,5875,5137,7043,1941,2858,4585,5910,1504,7279
-,1227,3641,4701,7139,5338,9035,9384,5251,8825,6504
+,7249,3643,938,1505,8439,851,4475,8776,7588,2784
+,3058,6272,1949,8083,9830,7097,8300,6228,3899,7308
+,9451,1698,2965,3064,1407,4202,2074,7020,7856,2857
+,2846,4933,5479,6178,1470,6177,2801,5032,8260,3625
+,9357,9479,831,8780,8036,1736,8762,5941,6549,8653
+,7207,5300,5870,3997,3613,5623,9012,2422,719,673
+,651,9731,4809,2369,8691,8933,6782,1886,2719,7675
+,6257,696,9649,7905,2652,4283,4652,3515,5018,2700
+,2176,4373,5824,4343,377,3267,6589,4245,1999,7720
+,3220,4434,672,7779,7022,5700,2580,3402,3375,9428
-,3052,3589,2350,4340,1593,5975,1069,1507,928,9252
+,7905,1249,627,6350,6837,7560,5269,2439,6486,1466
+,95,7360,8809,2597,688,8008,822,2363,869,6082
+,4601,8980,3353,6792,8391,3876,6698,973,2647,6023
+,857,8182,9949,9123,9537,2199,8460,8109,2507,3228
+,7590,2584,7150,1905,8984,9907,2527,4376,1791,2308
+,512,5972,5325,728,1609,4011,5836,2732,2615,6306
+,6037,1873,7927,843,310,4223,5134,6589,3137,922
+,828,3068,3093,2087,5245,9517,8165,3253,6542,8370
+,7072,2392,8045,5284,4203,5985,3468,1477,6783,8076
+,1070,5648,9263,5080,7345,4038,569,2407,7958,1099
-,3908,2806,73,6972,3927,3701,728,5062,4280,5598
+,5389,2448,3057,7712,4009,9412,9635,3694,855,9791
+,4321,3543,293,3748,6169,2939,3380,9278,4912,6634
+,3372,4085,9009,8041,1056,1578,7532,8867,5187,4928
+,139,350,1058,1448,5264,4764,6559,1206,7850,5565
+,9051,2309,2557,4647,4281,1733,4526,9585,1072,3178
+,8090,5306,3381,6593,9406,3435,7775,6804,4997,5109
+,7331,7498,2723,9041,4568,7207,370,5328,7808,8007
+,8902,2759,1217,9712,6094,2232,8920,3477,5582,447
+,8181,9010,4351,3917,7544,3631,8660,7033,4598,6495
+,8051,7343,1675,2767,4712,1901,9597,5744,8028,778
-,2723,3273,8225,1611,1566,6809,4553,4573,6836,7131
+,782,7241,3329,1069,5313,2578,2521,1848,5079,6110
+,140,4556,421,8549,9366,5693,3951,8163,6824,1442
+,3256,8261,2474,9561,8665,5406,8082,5178,7336,3346
+,9837,7920,315,3080,3241,4379,534,8960,6883,9457
+,1984,7437,1182,4733,7150,3704,9368,8632,1012,9796
+,3965,528,1497,3842,8895,9268,1194,2692,2833,4252
+,3126,4245,3465,190,9399,8783,2217,1916,8583,7848
+,9570,2089,5858,8849,5124,7608,8850,3709,8141,6900
+,387,3480,352,1604,2339,6765,1114,2019,9971,6917
+,6804,6291,9599,8610,4811,781,9754,2547,9159,4431
-,8928,589,7519,536,1261,8224,4475,1771,3924,6356
+,6398,7526,3172,691,3449,7362,8751,9779,5299,5723
+,5656,1493,4668,3176,9586,4576,3290,1475,7587,5392
+,853,5578,2658,9001,7825,4838,9943,966,9577,994
+,9027,8664,7606,3667,5943,8518,7918,5543,8103,5376
+,9046,2488,3113,9258,9760,3899,2503,7323,6257,4788
+,2496,4461,5145,9401,7386,3406,439,3414,5494,9610
+,2859,9960,9529,2452,5199,9115,9855,2653,1497,9247
+,1983,729,8502,4827,686,9828,6819,7695,5392,3585
+,7844,9339,4581,6259,165,4724,142,8856,4400,9581
+,4705,2153,4498,2042,1634,4001,6455,9931,7151,912
-,1287,2929,2039,3453,6701,146,4386,4930,6258,5832
+,8891,8361,1415,679,8332,811,2395,8278,5837,1854
+,4023,8045,9710,5210,4055,9513,8681,6743,4337,1296
+,9546,810,6999,4303,537,5270,5706,2947,1034,3135
+,3731,7827,9557,8510,7456,9566,6203,2385,995,4614
+,423,2170,266,7042,1299,4977,3643,5370,2992,2250
+,4144,5869,1688,484,3848,363,1482,1667,2046,2393
+,6646,8424,1552,1654,2019,3831,729,2511,2151,2515
+,7312,4226,1154,260,8701,6468,2875,3687,6732,1738
+,980,4416,6753,7839,9542,6633,304,9450,8200,8392
+,3796,1319,9918,2735,2779,1427,2808,1371,3702,7260
-,6651,4955,4305,87,3946,7370,6454,3595,7961,8281
+,1734,4957,7789,1709,1258,3713,9380,7510,1867,9597
+,5325,7681,5957,2153,3718,9264,6610,4846,8548,9603
+,5613,8811,4541,4854,7885,2290,5436,3761,9209,2506
+,2552,2699,8688,2913,6136,4087,6624,5456,3507,6232
+,3110,6140,8991,9370,4013,7691,707,5727,7593,4230
+,293,3398,8197,2797,9300,6379,5898,7044,6688,6325
+,3764,8346,5364,3504,5614,4694,768,3204,4083,8305
+,4743,5133,4498,5974,3229,6639,8083,1938,3425,7951
+,4550,7316,8757,1673,8622,520,5834,3285,3743,4302
+,1261,9443,6187,2520,9232,3593,5657,1770,3919,8646
-,6201,5278,9726,9590,148,6987,4111,3317,5038,357
+,9553,9910,7718,7644,1304,6233,2316,1313,3403,8323
+,5907,9743,1155,5405,8655,2779,1042,846,9667,1811
+,8433,1859,4302,7014,9379,4977,1832,4365,3587,9793
+,394,8168,1895,5301,5214,9939,4761,2916,3630,9612
+,2488,1303,4899,7484,635,5176,7656,3946,7896,8149
+,6773,3326,4803,5012,4263,8848,9876,794,8043,7454
+,8261,3594,9788,4564,7345,9000,7724,1391,7915,7811
